Family,Genus,Species,Cultivar,Common Name,Location,Date Started,Source,Source Details,Parent Plant
Araceae,Philodendron,Hederaceum,Brasil,Brasil Philodendron 1.2,Propagation Station,est 4/25,Owned Plant,,Brasil Philodendron
Araceae,Philodendron,Hederaceum,Brasil,Brasil Philodendron 1.3,Propagation Station,est 4/25,Owned Plant,,Brasil Philodendron
Araceae,Epipremnum,Aureum,Global Green,Global Green Pothos 1.2,Propagation Station,est 7/25,Owned Plant,, Global Green Pothos
Araceae,Philodendron,Erubescens,Golden Goddess ,Golden Goddess Philodendron,Propagation Station,est 7/25,Owned Plant,,Golden Goddess Philodendron
Araceae,Philodendron,Hederaceum,Lemon-lime Heart-leaf,Lemon-Lime Heart-Leaf Philodendron,Kitchen Window,9/1/25,Gift,Got from mom,
Araceae,Epipremnum,Aureum,Marble Queen Pothos,Marble Queen Pothos,Propagation Station,2024,Owned Plant,,Marble Queen Pothos
Araceae,Epipremnum,Aureum,N’joy,N'Joy Pothos 1.3,Propagation Station,est 7/25,Gift,Got from mom,
Araceae,Epipremnum,Aureum,N’joy,N'Joy Pothos 1.4,Kitchen Window,9/1/25,Gift,Got from mom,
Araceae,Epipremnum,Aureum,N’joy,N'Joy Pothos 1.5,Kitchen Window,9/1/25,Gift,Got from mom,
Piperaceae,Peperomia,Tetragona,,Parallel Peperomia 1.1,Propagation Station,est 7/25,Owned Plant,,Parallel Peperomia
Araceae,Philodendron,Hederaceum,Micans ,Philodendron Micans 1.2,Propagation Station,est 6/25,Owned Plant,,Philodendron Micans
Araceae,Philodendron,Hederaceum,Micans ,Philodendron Micans 1.3,Propagation Station,est 6/25,Owned Plant,,Philodendron Micans
Marantaceae,Maranta,Leuconeura,Red,Red Maranta 1.2,Kitchen Window,8/25/25,Owned Plant,,Red Maranta
Araceae,Epipremnum,Aureum,Shangri-La,Shangri-La Pothos 1.1,Propagation Station,est. 6/25,Owned Plant,,Shangri-La Pothos
Araceae,Epipremnum,Aureum,Shangri-La,Shangri-La Pothos 1.2,Propagation Station,est. 6/25,Owned Plant,,Shangri-La Pothos
Araceae,Aglaonema,Commutatum,Siam Aurora ,Siam Aurora Aglaonema 1.3,Propagation Station,2024,Owned Plant,,Siam Aurora Aglaonema 1.1
Araceae,Scindapsus,Pictus,Argyraeus,Silver Philodendron 1.4,Kitchen Window,9/1/25,Gift,Got from mom,
Araceae,Philodendron,Hastatum,Silver Sword,Silver Sword Philodendron,Kitchen Window,9/1/25,gift,Got from mom,