Family,Genus,Species,Common Name/Variety
Apocynaceae,Ceropegia,Woodii,Variegated String of Hearts 
Araceae,Aglaonema,Commutatum,Ghost
Araceae,Aglaonema,Commutatum,Intan Ice Cream
Araceae,Aglaonema,Commutatum,Red Zircon
Araceae,Aglaonema,Commutatum,Siam Aurora (2)
Araceae,Aglaonema,Commutatum,Night Sparkle 
Araceae,Alocasia,Dwarf Portora,Low Rider
Araceae,Alocasia,x Amazonica,Polly (2)
Araceae,Amydrium,Medium,"Silver (2,1)"
Araceae,Dieffenbachia,"Seguine ""Maculata""",Camille (2)
Araceae,Dieffenbachia,Seguine,Camouflage
Araceae,Monstera,Deliciosa,Monstera Deliciosa
Araceae,Monstera,Deliciosa,Thai Constellation
Araceae,Philodendron,Birkin,Birkin
Araceae,Philodendron,Erubescens,Golden Goddess (2)
Araceae,Philodendron,Erubescens,Pink princess
Araceae,Philodendron,Erubescens,Prince of Orange
Araceae,Philodendron,Erubescens,Ring of fire
Araceae,Philodendron,Erubescens,White Knight (2)
Araceae,Philodendron,Erubescens,White Wizard (2)
Araceae,Philodendron,Hastatum,"Silver Sword (0, 1)"
Araceae,Philodendron,Hederaceum,Brasil Heart-leaf
Araceae,Philodendron,Hederaceum,Cream Splash Heart-leaf
Araceae,Philodendron,Hederaceum,Lemon-lime Heart-leaf
Araceae,Philodendron,Hederaceum,Micans (2)
Araceae,Epipremnum,Aureum,Global Green Pothos (2)
Araceae,Epipremnum,Aureum,Golden
Araceae,Epipremnum,Aureum,Jade Pothos
Araceae,Epipremnum,Aureum,Lemon Meringue
Araceae,Epipremnum,Aureum,Manjula Pothos
Araceae,Epipremnum,Aureum,Marble Queen Pothos
Araceae,Epipremnum,Aureum,N’joy Pothos
Araceae,Epipremnum,Aureum,Neon Pothos
Araceae,Epipremnum,Aureum,Shangri-La Pothos
Araceae,Epipremnum,Pinnatum Albo Variegata,Pothos Albo Variegated
Araceae,Epipremnum,"Pinnatum ""Cebu Blue""",Cebu Blue Pothos
Araceae,Scindapsus,Pictus,"Exotica ""Satin Pothos"""
Araceae,Scindapsus,Pictus,"Argyraeus ""Silver Philodendron"" (2)"
Araceae,Syngonium,Podophyllum,Arrowhead Plant
Araceae,Syngonium,Podophyllum,Brocante
Araceae,Syngonium,Podophyllum,Confetti Tricolor
Araceae,Syngonium,Podophyllum,Holly
Araceae,Syngonium,Podophyllum,Milk confetti
Araceae,Syngonium,Podophyllum,Neon Robusta 
Araceae,Syngonium,Podophyllum,Panda Galaxy
Araceae,Syngonium,Podophyllum,Red Dot Tricolor
Araceae,Syngonium,Podophyllum,White Butterfly
Araceae,Zamioculcas,Zamiifolia,ZZ Plant
Asclepiadoideae,Hoya,Burtoniae Variegata,Sea Stones
Asclepiadoideae,Hoya,Carnosa ,Freckles splash
Asclepiadoideae,Hoya,Carnosa x Serpens,Mathilde Splash
Asclepiadoideae,Hoya,Verticillata (Parasitica),Black Margin
Asparagaceae,Chlorophytum,"Comosum ""Bonnie""",Curly Spider Plant
Asparagaceae,Dracaena,Fragrans,Lemon-lime
Asparagaceae,Dracaena,Trifasciata,Moonshine Snakeplant
Aspleniaceae,Asplenium,Nidus,Birds nest fern
Asteraceae,Crassothonna,Capensis,Ruby Necklace
Asteraceae,Curio,Rowleyanus,String of Pearls
Begoniaceae,Begonia,Maculata,Polka dot
Begoniaceae,Begonia,Rex,Queen of Hearts
Commelinaceae,Tradescantia,Fluminensis,Lavender
Commelinaceae,Tradescantia,Fluminensis,Variegata
Commelinaceae,Tradescantia,Zebrina,Wandering Dude
Crassulaceae,Crassula,Ovata,Jade Plant
Droseraceae,Drosera,Capensis,Cape Sundew 
Droseraceae,Drosera,Spatulata,Spoon-Leaved Sundew
Euphorbiaceae,Codiaeum,Variegatum,Croton Gold dust
Gesneriaceae,Aeschynanthus,Radicans,Mona Lisa Lipstick Plant
Gesneriaceae,Nematanthus,Gregarius,Goldfish Plant
Malvaceae,Pachira,Aquatica,Money Tree
Marantaceae,Ctenanthe,Burle-Marxii,Amagris (2)
Marantaceae,Geoppertia,Orbifolia,Calathea Orbifolia
Marantaceae,Geoppertia,Ornata,Striped
Marantaceae,Geoppertia,Roseopicta,Dottie
Marantaceae,Geoppertia,Roseopicta,Rosy
Marantaceae,Maranta,Leuconeura,Red (2)
Marantaceae,Stromanthe,Sanguinea,Triostar
Orchidaceae,Dendrobium,Nobile,Dendrobium nobile
Orchidaceae,Ludisia,Discolor,Jewel Orchid
Orchidaceae,Oncidium,Sphacelatum,Oncidium “popcorn” (2)
Orchidaceae,Phalaenopsis,Unknown,Moth Orchid (4)
Orchidaceae,Vanda,Hilo Rose,Vanda Hilo Rose
Piperaceae,Peperomia,Caperata Variegata,Variegated Green Ripple Plant
Piperaceae,Peperomia,Clusiifolia,Ginny
Piperaceae,Peperomia,Obtusifolia Variegata,Baby Rubber Plant
Piperaceae,Peperomia,Polybotrya,Raindrop
Piperaceae,Peperomia,Prostrata,String of Turtles
Piperaceae,Peperomia,Tetragona,Parallel Peperomia
Polypodiaceae,Platycerium,Bifurcatum,Staghorn Fern
Urticaceae,Pilea,Glauca,Aquamarine
Urticaceae,Pilea,Peperomioides,Money Plant (2)
Zingiberaceae,Alpina,Zerumbet Variegata,Shell Ginger Plant