Common Name/Variety,Location,Date Started
Brasil Philodendron 1,Propagation Station,est 4/25
Brasil Philodendron 2,Propagation Station,est 4/25
Global Green Pothos,Propagation Station,est 7/25
Golden Goddess Philodendron,Propagation Station,est 7/25
Lemon-Lime Heart-Leaf Philodendron,Kitchen Window,9/1/25
Marble Queen Pothos,Propagation Station,2024
N'Joy Pothos 1,Propagation Station,est 7/25
N'Joy Pothos 2,Kitchen Window,9/1/25
N'Joy Pothos 3,Kitchen Window,9/1/25
Parallel Peperomia,Propagation Station,est 7/25
Philodendron Micans 1,Propagation Station,est 6/25
Philodendron Micans 2,Propagation Station,est 6/25
Red Maranta,Kitchen Window,8/25/25
Shangri-La Pothos 1,Propagation Station,est. 6/25
Shangri-La Pothos 2,Propagation Station,est. 6/25
Siam Aurora Aglaonema ,Propagation Station,2024
Silver Philodendron,Kitchen Window,9/1/25
Silver Sword Philodendron,Kitchen Window,9/1/25